timestamp,datetime,timestamp_desc,message,report,attribution,source,md5,ip,domain
1575184004000,2019-12-01T08:06:44+00:00,VT_Domain_to_ip,Domain breakingnewsasia.com was resolving to 195.149.84.101,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breakingnewsasia.com/details,,195.149.84.101,breakingnewsasia.com
1536641617000,2018-09-11T06:53:37+00:00,VT_Domain_to_ip,Domain breakingnewsasia.com was resolving to 200.7.111.156,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breakingnewsasia.com/details,,200.7.111.156,breakingnewsasia.com
1426892400000,2015-03-21T00:00:00+00:00,VT_Domain_to_ip,Domain breakingnewsasia.com was resolving to 69.172.201.208,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breakingnewsasia.com/details,,69.172.201.208,breakingnewsasia.com
1575423797000,2019-12-04T02:43:17+00:00,VT_Domain_to_ip,Domain breaking-news.co was resolving to 103.224.212.222,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breaking-news.co/details,,103.224.212.222,breaking-news.co
1615134582000,2021-03-07T17:29:42+00:00,VT_Domain_to_ip,Domain breaking-news.co was resolving to 143.110.251.238,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breaking-news.co/details,,143.110.251.238,breaking-news.co
1476655200000,2016-10-17T00:00:00+00:00,VT_Domain_to_ip,Domain breaking-news.co was resolving to 160.153.137.18,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breaking-news.co/details,,160.153.137.18,breaking-news.co
1616225901000,2021-03-20T08:38:21+00:00,VT_Domain_to_ip,Domain breaking-news.co was resolving to 162.0.229.232,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breaking-news.co/details,,162.0.229.232,breaking-news.co
1588581240000,2020-05-04T10:34:00+00:00,VT_Domain_to_ip,Domain breaking-news.co was resolving to 170.178.168.203,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breaking-news.co/details,,170.178.168.203,breaking-news.co
1624933492000,2021-06-29T04:24:52+00:00,VT_Domain_to_ip,Domain breaking-news.co was resolving to 18.232.245.187,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breaking-news.co/details,,18.232.245.187,breaking-news.co
1624933492000,2021-06-29T04:24:52+00:00,VT_Domain_to_ip,Domain breaking-news.co was resolving to 3.234.104.255,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breaking-news.co/details,,3.234.104.255,breaking-news.co
